Time,FPS, Memory
0.0,74.4,440.9
0.0,65.6,446.0
0.0,68.4,446.0
0.0,70.7,446.0
0.0,74.2,446.0
0.0,80.7,446.0
0.1,88.0,446.0
0.1,95.8,446.0
0.1,99.8,446.0
0.1,102.8,446.0
0.1,106.6,446.0
0.1,108.8,446.0
0.1,111.5,446.0
0.1,114.1,446.0
0.1,115.9,446.0
0.1,108.3,446.0
0.1,102.0,446.0
0.1,105.0,446.0
0.1,113.7,446.0
0.1,120.0,446.0
0.1,129.9,446.0
0.2,134.8,446.0
0.2,132.6,446.0
0.2,137.8,446.0
0.2,137.6,446.0
0.2,139.2,446.0
0.2,140.3,446.0
0.2,137.7,446.0
0.2,141.9,446.0
0.2,143.4,446.0
0.2,144.0,446.0
0.2,144.8,446.0
0.2,142.5,446.0
0.2,144.6,446.0
0.2,145.2,446.0
0.2,145.9,446.0
0.3,146.1,446.0
0.3,147.4,446.0
0.3,146.0,446.0
0.3,148.0,446.0
0.3,146.7,446.0
0.3,147.1,446.0
0.3,148.6,446.0
0.3,145.4,446.0
0.3,145.5,446.0
0.3,143.6,446.0
0.3,144.4,446.0
0.3,144.8,446.0
0.3,145.2,446.0
0.3,145.1,446.0
0.3,145.4,446.0
0.4,145.8,446.0
0.4,145.8,446.0
0.4,147.4,446.0
0.4,146.7,446.0
0.4,147.6,446.0
0.4,148.1,446.0
0.4,148.1,446.0
0.4,147.1,446.0
0.4,148.8,446.1
0.4,147.1,446.1
0.4,146.7,446.0
0.4,144.8,446.1
0.4,145.1,446.1
0.4,144.0,446.1
0.5,145.0,446.1
0.5,145.6,446.1
0.5,145.4,446.1
0.5,146.4,446.1
0.5,146.4,446.1
0.5,147.1,446.1
0.5,147.2,446.1
0.5,146.8,446.1
0.5,147.7,446.1
0.5,147.1,446.1
0.5,148.1,446.1
0.5,148.2,446.1
0.5,147.5,446.1
0.5,148.2,446.1
0.5,147.0,446.1
0.6,146.3,446.1
0.6,145.4,446.1
0.6,144.5,446.1
0.6,143.9,446.1
0.6,144.7,446.1
0.6,144.8,446.1
0.6,145.1,446.1
0.6,145.3,446.1
0.6,146.0,446.1
0.6,145.2,446.1
0.6,146.3,446.1
0.6,146.0,446.1
0.6,147.1,446.1
0.6,145.1,446.1
0.6,147.3,446.1
0.7,147.0,446.1
0.7,144.4,446.1
0.7,142.5,446.1
0.7,141.1,446.1
0.7,140.7,446.1
0.7,139.1,446.1
0.7,137.8,446.1
0.7,138.9,446.1
0.7,139.1,446.1
0.7,139.5,446.1
0.7,140.2,446.1
0.7,141.2,446.1
0.7,140.5,446.1
0.8,141.1,446.1
0.8,142.1,446.1
0.8,142.4,446.1
0.8,143.5,446.1
0.8,143.2,446.1
0.8,143.6,446.1
0.8,144.0,446.1
0.8,143.5,446.1
0.8,144.3,446.1
0.8,144.4,446.1
0.8,145.3,446.1
0.8,145.4,446.1
0.8,144.8,446.1
0.8,147.4,446.1
0.8,147.1,446.1
0.9,147.2,446.1
0.9,147.9,446.1
0.9,146.0,446.1
0.9,146.8,446.1
0.9,146.5,446.1
0.9,147.8,446.1
0.9,146.9,446.1
0.9,148.3,446.1
0.9,147.2,446.1
0.9,148.5,446.1
0.9,147.6,446.1
0.9,147.8,446.1
0.9,147.4,446.1
0.9,147.9,446.1
0.9,147.2,446.1
1.0,148.2,446.1
1.0,150.0,446.1
1.0,147.8,446.1
1.0,149.5,446.1
1.0,147.6,446.1
1.0,149.9,446.1
1.0,149.1,446.1
1.0,149.3,446.1
1.0,147.1,446.1
1.0,148.7,446.2
1.0,146.9,446.2
1.0,148.3,446.2
1.0,148.9,446.2
1.0,148.4,446.2
1.0,148.1,446.2
1.1,148.5,446.2
1.1,148.1,446.2
1.1,148.2,446.2
1.1,148.7,446.2
1.1,147.0,446.2
1.1,147.3,446.2
1.1,146.8,446.2
1.1,148.5,446.2
1.1,148.5,446.2
1.1,146.4,446.2
1.1,147.6,446.2
1.1,148.7,446.2
1.1,148.1,446.2
1.1,148.4,446.2
1.1,147.4,446.2
1.2,144.0,446.2
1.2,147.8,446.2
1.2,148.2,446.3
1.2,147.8,446.3
1.2,147.6,446.2
1.2,145.6,446.3
1.2,147.5,446.3
1.2,147.7,446.2
1.2,146.9,446.3
1.2,147.1,446.3
1.2,147.4,446.2
1.2,146.4,446.3
1.2,146.7,446.3
1.2,146.4,446.2
1.3,146.7,446.3
1.3,146.6,446.3
1.3,145.6,446.2
1.3,146.4,446.3
1.3,146.3,446.3
1.3,146.6,446.2
1.3,145.4,446.3
1.3,145.3,446.3
1.3,144.5,446.3
1.3,146.3,446.3
1.3,146.8,446.3
1.3,145.8,446.3
1.3,145.6,446.3
1.3,146.3,446.3
1.3,145.7,446.3
1.4,145.4,446.3
1.4,145.1,446.3
1.4,145.7,446.3
1.4,145.9,446.3
1.4,145.3,446.3
1.4,145.1,446.3
1.4,144.7,446.3
1.4,144.8,446.3
1.4,143.1,446.3
1.4,145.1,446.3
1.4,145.0,446.3
1.4,143.3,446.3
1.4,143.8,446.3
1.4,143.4,446.3
1.5,143.8,446.3
1.5,144.1,446.3
1.5,143.2,446.3
1.5,142.3,446.3
1.5,142.6,446.3
1.5,143.2,446.3
1.5,142.9,446.3
1.5,143.2,446.3
1.5,142.4,446.3
1.5,141.6,446.3
1.5,143.4,446.3
1.5,142.4,446.3
1.5,142.7,446.3
1.5,141.7,446.3
1.6,141.7,446.3
1.6,142.0,446.3
1.6,141.6,446.3
1.6,141.5,446.3
1.6,141.4,446.3
1.6,141.6,446.3
1.6,141.7,446.3
1.6,141.1,446.3
1.6,141.5,446.3
1.6,140.6,446.3
1.6,140.7,446.3
1.6,140.5,446.3
1.6,140.6,446.3
1.6,140.0,446.3
1.7,140.1,446.3
1.7,140.6,446.3
1.7,139.5,446.3
1.7,139.8,446.3
1.7,139.6,446.3
1.7,139.6,446.3
1.7,139.2,446.3
1.7,139.4,446.3
1.7,139.4,446.3
1.7,139.3,446.3
1.7,138.3,446.3
1.7,136.4,446.3
1.7,124.9,446.3
1.8,116.3,446.3
1.8,123.7,446.3
1.8,130.5,446.3
1.8,140.1,446.3
1.8,145.1,446.3
1.8,143.4,446.3
1.8,143.7,446.3
1.8,142.4,446.3
1.8,141.9,446.3
1.8,139.0,446.3
1.8,140.7,446.3
1.8,140.1,446.3
1.8,139.2,446.3
1.8,138.6,446.3
1.8,137.6,446.3
1.9,138.2,446.3
1.9,136.6,446.3
