Time,FPS, Memory
0.0,51.6,437.6
0.0,47.4,440.8
0.0,50.4,440.8
0.0,52.7,440.8
0.0,56.0,440.8
0.1,61.0,440.8
0.1,62.9,440.8
0.1,68.6,440.8
0.1,74.6,440.8
0.1,76.3,440.8
0.1,83.4,440.8
0.1,90.9,440.8
0.1,89.7,440.8
0.1,97.4,440.8
0.1,105.6,440.8
0.1,103.2,440.8
0.1,110.7,440.8
0.1,104.5,440.8
0.1,112.3,440.8
0.1,121.7,440.8
0.1,119.2,440.8
0.1,128.7,440.8
0.2,119.0,440.8
0.2,128.8,440.8
0.2,137.5,440.8
0.2,129.5,440.8
0.2,137.4,441.0
0.2,126.5,441.0
0.2,135.9,441.0
0.2,146.9,441.0
0.2,135.6,441.0
0.2,146.2,441.0
0.2,131.7,441.0
0.2,141.9,441.0
0.2,153.3,441.0
0.2,138.8,441.0
0.2,149.4,441.0
0.3,134.9,441.0
0.3,144.8,441.0
0.3,155.8,441.0
0.3,142.4,441.0
0.3,153.6,441.0
0.3,136.0,441.0
0.3,144.8,441.0
0.3,155.6,441.0
0.3,143.5,441.0
0.3,153.2,441.0
0.3,158.6,441.0
0.3,150.2,441.0
0.3,157.5,441.0
0.3,141.0,441.0
0.3,149.2,441.0
0.4,156.4,441.0
0.4,148.1,441.0
0.4,153.9,441.0
0.4,142.3,441.0
0.4,153.2,441.0
0.4,158.7,441.0
0.4,151.6,441.0
0.4,158.5,441.0
0.4,142.2,441.0
0.4,153.0,441.0
0.4,158.7,441.0
0.4,149.0,441.0
0.4,158.5,441.0
0.4,140.6,441.0
0.4,150.9,441.0
0.4,157.3,441.0
0.5,147.9,441.0
0.5,157.8,441.0
0.5,140.9,441.0
0.5,151.9,441.0
0.5,159.6,441.0
0.5,147.8,441.0
0.5,158.6,441.0
0.5,141.0,441.0
0.5,151.6,441.0
0.5,159.7,441.0
0.5,146.1,441.0
0.5,156.5,441.0
0.5,140.6,441.0
0.5,151.0,441.0
0.5,159.3,441.0
0.6,146.5,441.0
0.6,156.6,441.0
0.6,140.2,441.0
0.6,151.1,441.0
0.6,159.8,441.0
0.6,146.5,441.0
0.6,157.4,441.0
0.6,139.7,441.0
0.6,150.1,441.0
0.6,159.4,441.0
0.6,145.2,441.0
0.6,154.4,441.0
0.6,139.1,441.0
0.6,148.0,441.0
0.6,158.6,441.0
0.7,146.1,441.0
0.7,154.9,441.0
0.7,140.1,441.0
0.7,149.2,441.0
0.7,157.8,441.0
0.7,146.4,441.0
0.7,155.3,441.0
0.7,140.3,441.0
0.7,149.9,441.0
0.7,161.0,441.0
0.7,146.6,441.0
0.7,157.2,441.0
0.7,139.6,441.0
0.7,149.1,441.0
0.7,160.7,441.0
0.8,146.7,441.0
0.8,157.4,441.0
0.8,139.7,441.0
0.8,150.2,441.0
0.8,160.6,441.0
0.8,147.0,441.0
0.8,157.9,441.0
0.8,139.9,441.0
0.8,150.6,441.0
0.8,159.8,441.0
0.8,145.8,441.0
0.8,156.3,441.0
0.8,139.8,441.0
0.8,149.9,441.0
0.8,160.3,441.0
0.9,146.5,441.0
0.9,157.4,441.0
0.9,138.8,441.0
0.9,148.8,441.0
0.9,160.6,441.0
0.9,146.1,441.0
0.9,156.9,441.0
0.9,140.8,441.0
0.9,151.6,441.0
0.9,161.0,441.0
0.9,147.7,441.0
0.9,158.2,441.0
0.9,139.8,441.0
0.9,147.2,441.0
0.9,156.0,441.1
1.0,146.9,441.1
1.0,156.4,441.1
1.0,140.6,441.1
1.0,151.6,441.1
1.0,161.1,441.1
1.0,144.7,441.1
1.0,154.0,441.1
1.0,138.6,441.1
1.0,145.9,441.1
1.0,155.5,441.1
1.0,146.8,441.2
1.0,157.1,441.2
1.0,162.1,441.2
1.0,150.7,441.2
1.0,159.6,441.2
1.1,143.5,441.2
1.1,151.5,441.2
1.1,157.3,441.2
1.1,150.6,441.2
1.1,160.0,441.2
1.1,142.7,441.2
1.1,150.4,441.2
1.1,159.4,441.2
1.1,149.8,441.2
1.1,160.5,441.2
1.1,142.0,441.2
1.1,152.0,441.2
1.1,162.9,441.2
1.1,148.8,441.2
1.1,159.1,441.2
1.2,142.3,441.2
1.2,153.0,441.2
1.2,162.9,441.2
1.2,146.9,441.2
1.2,157.7,441.2
1.2,140.2,441.2
1.2,150.0,441.2
1.2,161.7,441.2
1.2,145.4,441.2
1.2,156.0,441.2
1.2,162.3,441.2
1.2,154.4,441.2
1.2,160.1,441.2
1.2,143.4,441.2
1.2,151.7,441.2
1.2,161.1,441.2
1.3,150.3,441.2
1.3,159.7,441.2
1.3,143.1,441.2
1.3,153.8,441.2
1.3,159.7,441.2
1.3,148.2,441.2
1.3,158.4,441.2
1.3,142.4,441.2
1.3,152.4,441.2
1.3,160.9,441.2
1.3,149.2,441.2
1.3,159.6,441.2
1.3,141.8,441.2
1.3,152.1,441.2
1.3,161.0,441.2
1.4,147.7,441.2
1.4,157.8,441.2
1.4,140.0,441.2
1.4,150.3,441.2
1.4,161.2,441.2
1.4,147.4,441.2
1.4,158.3,441.2
1.4,139.7,441.1
1.4,149.1,441.1
1.4,160.4,441.1
1.4,146.5,441.1
1.4,155.7,441.1
1.4,139.7,441.1
1.4,148.0,441.1
1.4,158.1,441.1
1.5,144.9,441.1
1.5,152.2,441.1
1.5,140.7,441.1
1.5,149.2,441.1
1.5,159.0,441.1
1.5,147.2,441.1
1.5,152.9,441.1
1.5,160.5,441.1
1.5,155.7,441.1
1.5,161.8,441.1
1.5,145.4,441.1
1.5,156.2,441.1
1.5,159.8,441.1
1.5,151.0,441.1
1.5,159.1,441.1
1.6,143.8,441.1
1.6,154.8,441.1
1.6,158.2,441.1
1.6,150.7,441.1
1.6,158.3,441.1
1.6,142.5,441.1
1.6,153.0,441.1
1.6,157.6,441.1
1.6,149.7,441.1
1.6,156.5,441.1
1.6,139.5,441.1
1.6,148.1,441.1
1.6,158.3,441.1
1.6,148.3,441.1
1.6,158.1,441.1
1.7,141.3,441.1
1.7,151.4,441.1
1.7,157.6,441.1
1.7,149.9,441.1
1.7,158.2,441.1
1.7,141.1,441.1
1.7,151.5,441.1
1.7,158.6,441.1
1.7,148.0,441.1
1.7,156.9,441.1
1.7,140.7,441.1
1.7,151.1,441.1
