Time,FPS, Memory
0.0,29.7,474.7
0.0,28.7,479.5
0.0,30.4,479.5
0.0,32.8,479.5
0.1,35.4,479.4
0.1,38.9,479.4
0.1,42.8,479.4
0.1,46.9,479.4
0.1,47.8,479.4
0.1,51.4,479.3
0.1,56.3,479.3
0.1,61.8,479.3
0.1,67.7,479.3
0.1,71.3,479.3
0.1,75.6,479.2
0.1,79.7,479.2
0.1,83.5,479.2
0.1,87.3,479.2
0.1,91.5,479.2
0.1,95.7,479.1
0.1,99.6,479.1
0.1,102.6,479.1
0.2,106.3,479.1
0.2,105.6,479.1
0.2,111.3,479.1
0.2,116.6,479.1
0.2,119.4,479.1
0.2,122.4,479.1
0.2,124.8,479.0
0.2,127.0,479.0
0.2,128.0,479.0
0.2,130.7,479.0
0.2,131.8,479.0
0.2,133.7,478.9
0.2,135.6,478.9
0.2,135.4,478.9
0.2,137.1,478.9
0.3,139.9,478.9
0.3,141.4,478.8
0.3,141.9,478.8
0.3,143.0,478.8
0.3,144.0,478.8
0.3,145.2,478.7
0.3,146.0,478.7
0.3,145.7,478.7
0.3,146.9,478.7
0.3,146.7,478.7
0.3,148.1,478.6
0.3,148.5,478.6
0.3,146.6,478.6
0.3,148.9,478.6
0.3,149.3,478.5
0.4,149.9,478.5
0.4,150.1,478.5
0.4,150.2,478.5
0.4,149.6,478.5
0.4,150.6,478.4
0.4,150.8,478.4
0.4,151.3,478.4
0.4,150.5,478.4
0.4,151.2,478.4
0.4,151.3,478.3
0.4,151.4,478.3
0.4,151.6,478.3
0.4,151.2,478.3
0.4,151.5,478.2
0.4,151.7,478.2
0.5,151.5,478.2
0.5,150.6,478.2
0.5,151.6,478.2
0.5,151.5,478.1
0.5,152.0,478.1
0.5,151.6,478.1
0.5,152.2,478.1
0.5,151.8,478.1
0.5,152.3,478.0
0.5,151.4,478.0
0.5,152.0,478.0
0.5,151.8,478.0
0.5,151.8,477.9
0.5,152.3,477.9
0.5,152.7,477.9
0.6,151.1,477.9
0.6,150.7,477.9
0.6,150.6,477.8
0.6,152.2,477.8
0.6,148.5,477.8
0.6,151.8,477.8
0.6,151.1,477.7
0.6,151.5,477.7
0.6,139.0,477.7
0.6,128.7,477.7
0.6,138.1,477.7
0.6,144.0,477.6
0.6,143.4,477.6
0.6,131.8,477.6
0.7,141.0,477.6
0.7,149.2,477.5
0.7,154.0,477.5
0.7,164.4,477.5
0.7,163.1,477.5
0.7,159.4,477.4
0.7,161.6,477.4
0.7,160.0,477.4
0.7,159.1,477.4
0.7,158.9,477.3
0.7,159.4,477.3
0.7,156.2,477.3
0.7,156.9,477.3
0.7,156.6,477.3
0.7,155.8,477.2
0.7,150.6,477.2
0.7,155.2,477.2
0.8,155.8,477.2
0.8,156.3,477.1
0.8,155.4,477.1
0.8,155.0,477.1
