Time,FPS, Memory
0.0,52.9,452.8
0.0,43.2,457.4
0.0,44.3,457.4
0.0,48.1,457.4
0.0,52.4,457.4
0.0,57.6,457.3
0.1,62.8,457.3
0.1,68.7,457.3
0.1,72.6,457.3
0.1,76.5,457.2
0.1,80.5,457.2
0.1,84.7,457.2
0.1,88.6,457.2
0.1,93.0,457.2
0.1,96.2,457.1
0.1,100.1,457.1
0.1,104.1,457.1
0.1,107.3,457.1
0.1,111.2,457.1
0.1,113.5,457.0
0.1,116.1,457.0
0.1,118.6,457.0
0.2,121.1,457.0
0.2,124.2,457.0
0.2,125.8,456.9
0.2,128.7,456.9
0.2,131.6,456.9
0.2,132.6,456.9
0.2,134.0,456.8
0.2,136.7,456.8
0.2,136.7,456.8
0.2,139.1,456.8
0.2,139.8,456.8
0.2,141.4,456.7
0.2,142.7,456.7
0.2,142.2,456.7
0.2,144.1,456.7
0.3,143.9,456.7
0.3,146.5,456.6
0.3,146.6,456.6
0.3,146.0,456.6
0.3,147.7,456.6
0.3,147.1,456.5
0.3,146.0,456.5
0.3,149.4,456.5
0.3,148.4,456.5
0.3,150.2,456.5
0.3,149.3,456.4
0.3,149.5,456.4
0.3,150.1,456.4
0.3,149.2,456.4
0.3,151.1,456.4
0.3,150.6,456.3
0.4,151.3,456.3
0.4,151.0,456.3
0.4,151.8,456.3
0.4,151.6,456.3
0.4,151.4,456.2
0.4,151.5,456.2
0.4,150.8,456.2
0.4,151.3,456.2
0.4,151.3,456.1
0.4,150.8,456.1
0.4,151.7,456.1
0.4,151.2,456.1
0.4,151.7,456.1
0.4,150.0,456.0
0.4,148.8,456.0
0.5,150.2,456.0
0.5,150.2,456.0
0.5,150.4,456.0
0.5,150.6,455.9
0.5,149.0,455.9
0.5,150.4,455.9
0.5,150.0,455.9
0.5,151.2,455.8
0.5,148.6,455.8
0.5,148.3,455.8
0.5,151.4,455.8
0.5,150.8,455.8
0.5,151.7,455.7
0.5,152.4,455.7
0.5,152.4,455.7
0.6,150.6,455.7
0.6,153.2,455.7
0.6,151.9,455.6
0.6,151.3,455.6
0.6,152.6,455.6
0.6,151.1,455.6
0.6,152.0,455.5
0.6,151.0,455.5
0.6,150.3,455.5
0.6,150.7,455.5
0.6,151.6,455.5
0.6,151.8,455.4
0.6,151.8,455.4
0.6,152.2,455.4
0.6,152.0,455.4
0.7,150.7,455.4
0.7,152.4,455.3
0.7,151.5,455.3
0.7,151.2,455.3
