Time,FPS, Memory
0.0,66.7,443.7
0.0,61.0,448.8
0.0,61.8,448.8
0.0,64.0,448.8
0.1,68.1,448.8
0.1,73.8,448.8
0.1,80.1,448.8
0.1,87.2,448.8
0.1,91.4,448.8
0.1,97.2,448.8
0.1,101.1,448.8
0.1,104.5,448.8
0.1,108.0,448.8
0.1,111.5,448.8
0.1,114.0,448.8
0.1,117.8,448.8
0.1,120.7,448.8
0.1,123.3,448.8
0.1,125.2,448.8
0.1,127.8,448.8
0.1,129.3,448.8
0.1,131.5,448.8
0.2,132.9,448.8
0.2,133.9,448.8
0.2,136.5,448.8
0.2,138.2,448.8
0.2,137.7,448.8
0.2,140.6,448.8
0.2,140.4,448.8
0.2,142.4,448.8
0.2,142.6,448.8
0.2,144.5,448.8
0.2,145.0,448.8
0.2,144.4,448.8
0.2,145.1,448.8
0.2,146.7,448.8
0.2,147.5,448.8
0.3,146.0,448.8
0.3,148.4,448.8
0.3,148.1,448.8
0.3,148.7,448.8
0.3,149.1,448.8
0.3,148.9,448.8
0.3,149.0,448.8
0.3,148.8,448.8
0.3,148.9,448.8
0.3,149.9,448.8
0.3,149.2,448.8
0.3,149.8,448.8
0.3,149.1,448.8
0.3,150.4,448.8
0.3,150.6,448.8
0.4,149.9,448.8
0.4,150.9,448.8
0.4,150.1,448.8
0.4,150.8,448.8
0.4,150.7,448.8
0.4,150.3,448.8
0.4,151.0,448.8
0.4,148.5,448.8
0.4,150.9,448.8
0.4,149.5,448.8
0.4,150.7,448.8
0.4,151.4,448.8
0.4,149.6,448.8
0.4,150.8,448.8
0.4,151.1,448.8
0.5,151.0,448.8
0.5,151.4,448.8
0.5,151.0,448.8
0.5,151.4,448.8
0.5,151.3,448.8
0.5,151.3,448.8
0.5,151.2,448.8
0.5,151.1,448.8
0.5,151.6,448.8
0.5,151.7,448.8
0.5,150.7,448.8
0.5,151.3,448.8
0.5,150.6,448.8
0.5,151.5,448.8
0.5,151.1,448.8
0.6,151.0,448.8
0.6,150.4,448.8
0.6,150.6,448.8
0.6,150.5,448.8
0.6,150.4,448.8
0.6,150.3,448.8
0.6,150.8,448.8
0.6,150.5,448.8
0.6,151.1,448.8
0.6,151.0,448.8
0.6,148.5,448.8
0.6,150.9,448.8
0.6,150.5,448.8
0.6,149.6,448.8
0.6,149.4,448.8
0.7,150.9,448.9
0.7,150.1,448.8
0.7,150.6,448.8
0.7,151.3,448.9
0.7,151.4,448.9
0.7,150.8,448.8
0.7,150.9,448.9
0.7,151.3,448.8
0.7,151.4,448.8
0.7,151.0,448.9
0.7,150.5,448.9
0.7,151.1,448.8
0.7,151.6,448.9
0.7,150.9,448.8
0.7,150.5,448.8
0.8,150.5,448.9
0.8,148.7,448.8
0.8,151.5,448.8
0.8,151.1,448.9
0.8,150.4,448.9
0.8,150.3,448.8
0.8,150.7,448.9
0.8,151.2,448.9
0.8,151.0,448.8
0.8,149.8,448.9
0.8,150.6,448.9
0.8,150.2,448.8
0.8,151.1,448.9
0.8,150.1,448.9
0.8,149.6,448.9
0.9,150.4,448.9
0.9,150.7,448.9
0.9,150.2,448.9
0.9,150.7,448.9
0.9,149.5,448.9
0.9,149.9,448.9
0.9,149.5,448.9
0.9,151.0,448.9
0.9,150.9,448.9
0.9,149.6,448.9
0.9,150.5,448.9
0.9,150.3,448.8
0.9,150.9,448.8
0.9,150.4,448.8
0.9,151.4,448.8
1.0,148.8,448.8
1.0,149.4,448.8
1.0,151.1,448.8
1.0,150.9,448.9
1.0,148.5,448.9
1.0,149.2,448.8
1.0,149.8,448.9
1.0,149.8,448.9
1.0,149.6,448.9
1.0,149.3,448.9
1.0,150.1,448.9
1.0,150.5,449.0
1.0,150.4,449.0
1.0,150.0,449.0
1.0,149.5,449.0
1.1,150.0,449.0
1.1,151.0,449.0
1.1,149.7,449.0
1.1,151.2,449.0
1.1,151.4,449.0
1.1,150.5,449.0
1.1,150.5,449.0
1.1,151.4,449.0
1.1,150.5,449.0
1.1,148.7,449.0
1.1,149.9,449.0
1.1,150.5,449.0
1.1,150.4,449.0
1.1,150.4,449.0
1.1,148.6,449.0
1.2,150.1,449.0
1.2,148.7,449.0
1.2,151.2,449.0
1.2,150.6,449.0
1.2,150.5,449.0
1.2,150.2,449.0
1.2,149.9,449.0
1.2,150.7,449.0
1.2,150.4,449.0
1.2,148.4,449.0
1.2,150.3,449.0
1.2,150.5,449.0
1.2,150.1,449.0
1.2,150.1,449.0
1.2,148.9,449.0
1.3,149.6,449.0
1.3,149.0,449.0
1.3,149.1,449.0
1.3,150.0,449.0
1.3,149.3,449.0
1.3,149.5,449.0
1.3,150.9,449.0
1.3,150.0,449.0
1.3,150.7,449.0
1.3,149.1,449.0
1.3,150.1,449.0
1.3,149.4,449.0
1.3,150.3,449.0
1.3,150.8,449.0
1.3,150.5,449.0
1.4,150.4,449.0
1.4,150.7,449.0
1.4,150.4,449.0
1.4,150.1,449.0
1.4,148.9,449.0
1.4,147.3,449.0
1.4,149.4,449.0
1.4,149.7,449.0
1.4,150.8,449.0
1.4,149.3,449.0
1.4,149.4,449.0
1.4,151.1,449.0
1.4,150.9,449.0
1.4,150.6,449.0
1.4,150.8,449.0
1.5,150.2,449.0
1.5,148.5,449.0
1.5,150.6,449.0
1.5,149.5,449.0
1.5,151.1,449.0
1.5,151.0,449.0
1.5,151.5,449.0
1.5,150.3,449.0
1.5,150.5,449.0
1.5,148.8,449.0
1.5,150.4,449.0
