Time,FPS, Memory
0.0,71.0,439.0
0.0,67.0,443.6
0.0,65.3,443.6
0.0,68.0,443.6
0.1,71.4,443.6
0.1,77.7,443.6
0.1,84.7,443.6
0.1,92.5,443.6
0.1,96.4,443.6
0.1,100.2,443.6
0.1,104.1,443.6
0.1,107.4,443.6
0.1,110.7,443.6
0.1,114.0,443.6
0.1,116.2,443.6
0.1,119.5,443.6
0.1,121.9,443.6
0.1,124.9,443.6
0.1,127.1,443.6
0.1,128.7,443.6
0.1,130.4,443.6
0.2,132.6,443.6
0.2,134.5,443.6
0.2,135.6,443.6
0.2,137.1,443.6
0.2,138.9,443.6
0.2,139.6,443.6
0.2,141.2,443.6
0.2,142.1,443.6
0.2,142.6,443.6
0.2,143.8,443.6
0.2,143.7,443.6
0.2,145.5,443.6
0.2,145.8,443.6
0.2,146.3,443.6
0.2,146.8,443.6
0.3,147.5,443.6
0.3,147.8,443.6
0.3,147.4,443.5
0.3,148.5,443.6
0.3,148.6,443.6
0.3,149.8,443.5
0.3,149.3,443.6
0.3,150.0,443.6
0.3,150.0,443.5
0.3,150.3,443.6
0.3,150.5,443.6
0.3,150.3,443.5
0.3,150.5,443.6
0.3,150.7,443.6
0.3,151.1,443.5
0.4,151.2,443.6
0.4,150.5,443.6
0.4,151.4,443.5
0.4,150.7,443.6
0.4,151.4,443.6
0.4,135.9,443.5
0.4,126.2,443.5
0.4,134.5,443.6
0.4,142.1,443.6
0.4,151.5,443.6
0.4,155.5,443.6
0.4,158.2,443.5
0.4,158.1,443.6
0.4,157.2,443.6
0.4,157.8,443.5
0.5,157.8,443.6
0.5,156.5,443.6
0.5,156.3,443.5
0.5,154.8,443.6
0.5,155.1,443.6
0.5,153.6,443.5
0.5,154.1,443.6
0.5,153.7,443.6
0.5,153.8,443.5
0.5,153.7,443.6
0.5,153.3,443.6
0.5,153.2,443.5
0.5,153.4,443.6
0.5,152.9,443.6
0.5,152.3,443.5
0.6,151.3,443.6
0.6,152.5,443.6
0.6,153.0,443.5
0.6,153.1,443.6
0.6,152.3,443.6
0.6,152.1,443.5
0.6,152.2,443.6
0.6,152.3,443.6
0.6,152.3,443.5
0.6,151.7,443.6
0.6,152.2,443.6
0.6,150.9,443.5
0.6,151.8,443.6
0.6,151.8,443.6
0.6,151.7,443.5
0.6,151.3,443.6
0.7,151.5,443.6
0.7,152.0,443.5
0.7,151.8,443.6
0.7,150.9,443.6
0.7,151.6,443.5
0.7,151.2,443.6
0.7,151.7,443.6
0.7,151.8,443.5
0.7,151.3,443.6
0.7,151.3,443.6
0.7,151.0,443.5
0.7,151.7,443.6
0.7,151.7,443.6
0.7,151.3,443.5
0.7,150.7,443.6
0.8,150.9,443.6
0.8,151.1,443.5
0.8,151.4,443.6
0.8,150.9,443.6
0.8,151.2,443.5
0.8,150.7,443.6
0.8,150.8,443.6
0.8,150.8,443.5
0.8,150.3,443.6
0.8,150.5,443.6
0.8,150.6,443.5
0.8,151.8,443.6
0.8,150.9,443.6
0.8,151.2,443.5
0.8,151.5,443.6
0.9,151.4,443.6
0.9,151.6,443.5
0.9,151.5,443.6
0.9,151.1,443.6
0.9,151.6,443.5
0.9,150.3,443.6
0.9,151.4,443.6
0.9,151.2,443.5
0.9,150.6,443.6
0.9,150.8,443.6
0.9,150.2,443.5
0.9,151.0,443.5
0.9,150.5,443.5
0.9,149.9,443.5
0.9,150.7,443.5
1.0,150.5,443.5
1.0,150.6,443.5
1.0,150.9,443.5
1.0,150.8,443.5
1.0,151.4,443.5
1.0,151.3,443.5
1.0,151.2,443.5
1.0,150.3,443.5
1.0,150.9,443.5
1.0,149.7,443.6
1.0,150.5,443.6
1.0,150.5,443.6
1.0,150.2,443.7
1.0,150.9,443.7
1.0,151.7,443.6
1.1,151.0,443.7
1.1,150.5,443.7
1.1,151.3,443.6
1.1,151.1,443.7
1.1,151.1,443.7
1.1,151.7,443.6
1.1,150.9,443.7
1.1,148.8,443.7
1.1,151.2,443.7
1.1,151.6,443.7
1.1,150.9,443.7
1.1,150.5,443.6
1.1,150.2,443.7
1.1,150.9,443.7
1.1,151.6,443.6
1.2,150.1,443.7
1.2,150.6,443.7
1.2,151.2,443.6
1.2,150.2,443.7
1.2,151.3,443.7
1.2,151.5,443.6
1.2,150.8,443.7
1.2,151.3,443.7
1.2,149.6,443.6
1.2,151.3,443.7
1.2,151.4,443.7
1.2,149.2,443.6
1.2,149.9,443.7
1.2,149.5,443.7
1.2,150.0,443.6
1.3,137.3,443.7
1.3,138.8,443.6
1.3,137.7,443.7
1.3,128.9,443.6
1.3,138.5,443.7
1.3,144.0,443.7
1.3,154.8,443.7
1.3,160.8,443.7
1.3,158.8,443.6
1.3,158.4,443.7
1.3,142.6,443.6
1.3,143.1,443.7
1.3,143.5,443.7
1.3,153.8,443.6
1.3,159.7,443.7
1.4,159.7,443.7
1.4,157.9,443.7
1.4,141.9,443.6
1.4,130.5,443.6
1.4,132.0,443.7
1.4,141.7,443.7
1.4,148.6,443.7
1.4,159.4,443.7
1.4,163.4,443.6
1.4,162.7,443.7
1.4,161.6,443.7
1.4,160.3,443.6
1.4,159.2,443.7
1.4,158.3,443.7
1.4,158.1,443.6
1.5,142.0,443.7
1.5,142.9,443.6
1.5,141.7,443.7
1.5,131.5,443.6
1.5,133.0,443.7
1.5,135.1,443.7
1.5,136.0,443.6
1.5,137.9,443.7
1.5,139.4,443.7
1.5,149.1,443.7
1.5,155.1,443.6
1.5,166.0,443.7
1.5,171.6,443.7
1.5,168.8,443.7
1.5,166.8,443.6
1.6,164.4,443.7
1.6,163.5,443.7
1.6,162.4,443.6
1.6,160.9,443.7
1.6,160.1,443.7
1.6,158.0,443.6
1.6,157.6,443.7
1.6,157.1,443.7
1.6,157.4,443.6
1.6,156.3,443.7
1.6,156.1,443.7
1.6,155.6,443.6
1.6,155.7,443.7
1.6,154.8,443.7
1.6,154.5,443.6
1.6,154.2,443.7
1.7,153.7,443.7
1.7,153.6,443.6
1.7,153.6,443.7
1.7,153.1,443.7
1.7,153.1,443.6
1.7,151.8,443.7
1.7,152.8,443.7
1.7,153.1,443.7
1.7,152.3,443.7
1.7,152.5,443.7
1.7,152.1,443.6
1.7,151.9,443.7
1.7,151.5,443.7
1.7,148.9,443.6
1.8,137.5,443.7
1.8,127.5,443.6
1.8,136.4,443.7
1.8,143.3,443.7
1.8,153.6,443.7
1.8,159.4,443.6
1.8,158.1,443.7
1.8,158.0,443.7
