Time,FPS, Memory
0.0,54.3,458.4
0.0,47.6,463.1
0.0,48.5,463.0
0.0,51.2,463.0
0.1,54.5,463.0
0.1,59.9,463.0
0.1,65.8,462.9
0.1,71.3,462.9
0.1,75.5,462.9
0.1,79.5,462.9
0.1,83.3,462.9
0.1,87.4,462.8
0.1,90.4,463.0
0.1,95.7,463.0
0.1,98.8,463.0
0.1,102.6,463.0
0.1,105.9,462.9
0.1,109.3,462.9
0.1,112.7,462.9
0.1,115.0,462.9
0.1,118.1,462.8
0.2,119.9,462.8
0.2,123.0,462.8
0.2,125.0,462.8
0.2,127.2,462.8
0.2,129.5,462.7
0.2,131.0,462.7
0.2,132.2,462.7
0.2,134.9,462.7
0.2,135.2,462.6
0.2,137.4,462.6
0.2,138.2,462.6
0.2,139.7,462.6
0.2,141.4,462.6
0.2,140.7,462.5
0.2,142.4,462.5
0.3,142.7,462.5
0.3,144.4,462.5
0.3,145.5,462.5
0.3,144.7,462.4
0.3,145.7,462.4
0.3,145.1,462.4
0.3,147.0,462.4
0.3,147.5,462.4
0.3,147.3,462.3
0.3,148.0,462.3
0.3,148.6,462.3
0.3,148.4,462.3
0.3,148.5,462.2
0.3,148.2,462.2
0.3,149.0,462.2
0.4,149.5,462.2
0.4,149.0,462.2
0.4,149.5,462.1
0.4,146.8,462.1
0.4,147.4,462.1
0.4,147.6,462.1
0.4,146.3,462.0
0.4,148.2,462.0
0.4,145.3,462.0
0.4,147.3,462.0
0.4,146.8,462.0
0.4,148.9,462.0
0.4,149.6,461.9
0.4,148.4,461.9
0.4,149.5,461.9
0.5,149.0,461.9
0.5,149.5,461.8
0.5,150.1,461.8
0.5,148.5,461.8
0.5,149.8,461.8
0.5,150.0,461.8
0.5,149.7,461.7
0.5,149.8,461.7
0.5,149.4,461.7
0.5,150.3,461.7
0.5,149.2,461.7
0.5,150.6,461.6
0.5,150.4,461.6
0.5,150.1,461.6
0.5,150.8,461.6
0.6,150.1,461.5
0.6,150.4,461.5
0.6,151.3,461.5
0.6,149.4,461.5
0.6,151.2,461.5
0.6,149.7,461.4
0.6,151.0,461.4
0.6,150.8,461.4
0.6,145.8,461.4
0.6,148.6,461.4
0.6,151.0,461.4
0.6,151.5,461.4
0.6,151.4,461.3
0.6,150.8,461.3
0.6,151.1,461.3
0.7,150.2,461.3
0.7,151.3,461.3
0.7,150.9,461.2
0.7,150.1,461.2
0.7,150.7,461.2
0.7,149.2,461.2
0.7,150.6,461.1
0.7,150.1,461.1
0.7,149.7,461.1
0.7,149.3,461.1
0.7,149.8,461.1
0.7,149.9,461.0
0.7,150.7,461.0
0.7,149.7,461.0
0.7,150.5,460.9
0.8,149.9,460.9
0.8,150.4,460.9
0.8,150.2,460.9
0.8,149.6,460.9
0.8,150.1,460.8
0.8,149.1,460.8
0.8,150.2,460.8
0.8,150.6,460.8
0.8,149.8,460.8
0.8,150.3,460.7
0.8,149.6,460.7
0.8,149.6,460.7
0.8,150.8,460.7
0.8,148.9,460.6
0.8,150.2,460.6
0.9,149.4,460.6
0.9,150.4,460.6
0.9,150.1,460.6
0.9,149.7,460.5
0.9,149.6,460.5
0.9,149.6,460.5
0.9,149.8,460.5
0.9,150.0,460.5
0.9,147.4,460.4
0.9,149.1,460.4
0.9,149.2,460.4
0.9,148.8,460.4
0.9,150.0,460.4
0.9,149.0,460.3
0.9,149.7,460.3
1.0,148.7,460.3
1.0,150.2,460.3
1.0,149.5,460.2
1.0,147.8,460.2
1.0,150.0,460.2
1.0,149.9,460.2
1.0,149.8,460.2
1.0,150.3,460.1
1.0,148.4,460.2
1.0,150.4,460.2
1.0,149.6,460.2
1.0,150.1,460.1
1.0,151.0,460.1
1.0,149.9,460.1
1.0,150.2,460.1
1.1,149.6,460.1
1.1,150.3,460.0
1.1,150.4,460.0
1.1,149.7,460.0
1.1,150.3,460.0
1.1,148.9,460.0
1.1,149.8,460.0
1.1,150.9,459.9
1.1,149.0,459.9
1.1,149.6,459.9
1.1,148.9,459.9
1.1,149.7,459.9
1.1,149.3,459.9
1.1,149.3,459.8
1.1,149.1,459.8
1.2,149.2,459.8
1.2,149.9,459.8
1.2,149.9,459.8
1.2,149.2,459.7
1.2,149.8,459.7
1.2,148.5,459.7
1.2,149.7,459.7
1.2,149.3,459.6
1.2,149.2,459.6
1.2,147.7,459.6
1.2,148.4,459.6
1.2,149.7,459.6
1.2,150.2,459.5
1.2,148.5,459.5
1.2,148.0,459.5
1.3,149.4,459.5
1.3,149.6,459.4
1.3,150.3,459.4
1.3,148.6,459.4
1.3,148.6,459.4
1.3,149.6,459.4
1.3,149.7,459.3
1.3,150.7,459.3
1.3,149.4,459.3
1.3,143.0,459.3
1.3,137.2,459.4
1.3,144.2,459.4
1.3,153.8,459.4
1.3,152.6,459.3
1.3,153.0,459.3
1.4,151.7,459.3
1.4,151.8,459.3
1.4,152.1,459.3
1.4,151.5,459.2
1.4,152.0,459.2
1.4,150.6,459.2
1.4,151.7,459.2
1.4,152.1,459.1
1.4,151.5,459.1
1.4,151.3,459.1
1.4,151.3,459.1
1.4,151.8,459.1
1.4,152.1,459.0
1.4,151.0,459.0
1.4,151.0,459.0
1.5,150.8,459.0
1.5,151.8,459.0
1.5,151.9,458.9
1.5,150.0,458.9
1.5,152.0,458.9
1.5,151.4,458.9
1.5,152.1,458.9
1.5,152.1,458.8
1.5,151.3,458.8
1.5,151.0,458.8
1.5,150.5,458.8
1.5,151.6,458.7
1.5,152.6,458.7
1.5,151.4,458.7
1.5,151.9,458.7
1.6,151.3,458.7
1.6,151.9,458.6
1.6,151.9,458.6
1.6,151.8,458.6
1.6,150.1,458.6
1.6,151.8,458.5
1.6,152.4,458.5
1.6,152.6,458.5
1.6,151.3,458.5
1.6,151.8,458.5
1.6,152.0,458.4
1.6,151.3,458.4
1.6,151.7,458.4
1.6,150.9,458.4
1.6,151.4,458.4
1.7,151.7,458.3
1.7,151.0,458.3
1.7,151.0,458.3
1.7,150.3,458.3
1.7,150.7,458.2
1.7,152.3,458.2
1.7,150.8,458.2
1.7,150.8,458.2
