Time,FPS, Memory
0.0,53.7,442.6
0.0,53.0,442.1
0.0,53.9,442.1
0.0,56.7,442.1
0.1,60.3,442.1
0.1,66.0,442.1
0.1,72.3,442.1
0.1,79.3,442.1
0.1,83.2,442.1
0.1,86.8,442.1
0.1,90.8,442.1
0.1,95.0,442.1
0.1,98.6,442.1
0.1,102.2,442.1
0.1,105.7,442.1
0.1,108.9,442.1
0.1,112.4,442.1
0.1,115.2,442.1
0.1,118.6,442.1
0.1,120.9,442.1
0.1,123.6,442.1
0.2,125.8,442.1
0.2,128.0,442.1
0.2,130.3,442.1
0.2,131.9,442.1
0.2,134.0,442.1
0.2,135.5,442.1
0.2,137.6,442.1
0.2,138.6,442.1
0.2,139.7,442.1
0.2,141.1,442.1
0.2,142.1,442.1
0.2,143.2,442.1
0.2,144.1,442.1
0.2,143.7,442.1
0.2,144.4,442.1
0.2,145.7,442.1
0.3,147.1,442.1
0.3,146.9,442.1
0.3,148.1,442.1
0.3,148.4,442.1
0.3,149.1,442.1
0.3,149.0,442.1
0.3,147.6,442.1
0.3,149.5,442.1
0.3,150.0,442.1
0.3,150.7,442.1
0.3,150.6,442.1
0.3,151.0,442.1
0.3,151.0,442.1
0.3,151.6,442.1
0.3,151.8,442.1
0.4,151.1,442.1
0.4,151.2,442.1
0.4,151.4,442.1
0.4,152.0,442.1
0.4,152.4,442.1
0.4,151.6,442.1
0.4,150.7,442.1
0.4,151.8,442.1
0.4,152.2,442.1
0.4,151.7,442.1
0.4,152.4,442.1
0.4,151.9,442.1
0.4,152.2,442.1
0.4,152.8,442.1
0.4,152.6,442.1
0.5,151.8,442.1
0.5,152.2,442.1
0.5,151.8,442.1
0.5,152.1,442.1
0.5,151.2,442.1
0.5,152.1,442.1
0.5,152.0,442.1
0.5,152.7,442.1
0.5,152.5,442.1
0.5,152.0,442.1
0.5,152.6,442.1
0.5,152.8,442.1
0.5,152.8,442.1
0.5,152.4,442.1
0.5,152.7,442.1
0.6,151.3,442.1
0.6,152.7,442.1
0.6,152.7,442.1
0.6,152.1,442.1
0.6,152.5,442.1
0.6,151.9,442.1
0.6,152.2,442.1
0.6,152.7,442.1
0.6,152.0,442.1
0.6,152.4,442.1
0.6,151.8,442.1
0.6,152.1,442.1
0.6,151.6,442.1
0.6,152.0,442.1
0.6,151.4,442.1
0.6,151.3,442.1
0.7,152.1,442.1
0.7,151.3,442.1
0.7,151.9,442.1
0.7,151.4,442.1
0.7,151.5,442.1
0.7,151.7,442.1
0.7,151.7,442.1
0.7,151.7,442.1
0.7,151.6,442.1
0.7,151.5,442.1
0.7,151.9,442.1
0.7,151.1,442.1
0.7,151.3,442.1
0.7,151.8,442.1
0.7,151.8,442.1
0.8,151.9,442.1
0.8,150.3,442.1
0.8,151.7,442.1
0.8,151.5,442.1
0.8,152.5,442.1
0.8,151.7,442.1
0.8,152.2,442.1
0.8,151.2,442.1
0.8,151.7,442.1
0.8,151.2,442.1
0.8,150.9,442.1
0.8,151.5,442.1
0.8,151.2,442.1
0.8,151.6,442.1
0.8,151.2,442.1
0.9,151.1,442.1
0.9,151.6,442.1
0.9,151.4,442.1
0.9,152.1,442.1
0.9,151.7,442.1
0.9,150.8,442.1
0.9,150.2,442.1
0.9,150.8,442.1
0.9,151.8,442.1
0.9,151.3,442.1
0.9,151.6,442.1
0.9,151.5,442.1
0.9,151.0,442.1
0.9,151.9,442.1
0.9,152.3,442.1
1.0,151.2,442.1
1.0,151.9,442.1
1.0,151.0,442.1
1.0,151.9,442.1
1.0,150.5,442.1
1.0,151.3,442.1
1.0,152.2,442.1
1.0,151.5,442.1
1.0,152.1,442.1
1.0,151.1,442.2
1.0,151.8,442.2
1.0,150.9,442.2
1.0,151.8,442.2
1.0,151.5,442.2
1.0,151.6,442.2
1.1,151.4,442.2
1.1,151.8,442.2
1.1,150.4,442.2
1.1,151.6,442.2
1.1,151.5,442.2
1.1,151.2,442.2
1.1,151.8,442.2
1.1,152.6,442.2
1.1,151.6,442.2
1.1,150.3,442.2
1.1,151.7,442.2
1.1,152.3,442.2
1.1,151.9,442.2
1.1,151.6,442.2
1.1,150.6,442.2
1.2,150.8,442.2
1.2,152.2,442.2
1.2,152.0,442.2
1.2,151.1,442.2
1.2,151.3,442.2
1.2,151.4,442.2
1.2,152.0,442.2
1.2,152.2,442.2
1.2,151.5,442.2
1.2,151.9,442.2
1.2,151.5,442.2
1.2,151.9,442.2
1.2,150.3,442.2
1.2,151.4,442.2
1.2,152.2,442.2
1.2,151.7,442.2
1.3,151.9,442.2
1.3,151.7,442.2
1.3,151.5,442.2
1.3,152.1,442.2
1.3,151.6,442.2
1.3,151.5,442.2
1.3,152.1,442.2
1.3,151.4,442.2
1.3,152.0,442.2
1.3,149.5,442.2
1.3,152.1,442.2
